91 115
10 83 77
2 10 96
27 89 40
32 16 79
61 67 35
46 4 40
52 80 8
59 76 55
47 4 52
15 83 58
14 88 66
84 89 59
57 74 56
52 8 73
59 5 32
12 5 57
29 27 3
80 44 74
23 63 61
18 16 37
57 26 47
51 85 81
53 89 76
22 45 28
71 60 22
82 57 96
86 63 90
2 90 67
69 45 68
52 24 35
83 18 26
2 68 70
79 34 88
72 36 86
16 79 44
50 16 35
46 36 64
45 24 84
55 54 51
77 21 94
79 47 34
62 15 38
34 47 80
59 4 74
6 56 14
26 67 81
82 18 86
74 28 58
34 67 100
68 77 6
22 40 71
78 44 22
45 19 38
71 53 58
88 13 68
12 41 35
22 10 78
71 30 27
12 88 92
70 39 30
55 40 92
38 34 63
44 56 67
82 15 70
28 59 19
76 51 41
9 10 77
4 44 52
21 60 38
51 34 72
20 40 73
1 13 28
62 20 50
58 82 15
56 2 60
64 87 66
4 7 12
85 49 52
1 14 94
42 72 100
57 56 72
11 81 42
91 22 57
18 8 88
63 6 97
26 83 91
62 14 67
21 24 38
34 85 65
20 4 32
84 21 45
43 2 5
37 29 73
65 30 36
80 60 89
70 19 89
46 3 16
82 84 96
36 54 99
17 58 7
50 69 6
18 83 44
28 57 33
30 81 52
11 39 60
52 18 6
10 69 45
51 66 98
91 41 8
77 24 29
79 32 57
71 80 84
74 7 20
4 60 74
82 15 14
45 77
